Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
192, 384, 385, -1 - -25, 33, -11, 30, -12.826930 - 0.148525
193, 386, 387, -1 - 12, -22, -3, -4, 58.079775 - 0.760786
194, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
195, 388, 389, -1 - 13, -8, -9, -8, -44.969024 - 0.099719
196, 390, 391, -1 - 32, -1, 29, 14, 83.922849 - 0.918296
197, 392, 393, -1 - -9, 0, -44, 7, 38.865322 - 0.303375
198, 394, 395, -1 - -10, -23, 20, 48, 86.962493 - 0.024429
199, 396, 397, -1 - 23, -26, 13, -9, 23.056734 - 0.764204
200, 398, 399, -1 - 24, 27, -30, -8, -32.590716 - 0.401343
201, 400, 401, -1 - 15, 46, -12, -44, -43.540757 - 0.844664
202, 402, 403, -1 - 28, 0, -6, 14, 75.157933 - 0.117847
203, 404, 405, -1 - 9, -41, 32, 33, -26.712851 - 0.560541
204, 406, 407, -1 - 16, 57, -15, -12, 31.376080 - 0.946644
205, 408, 409, -1 - 0, 6, 29, 2, -90.618610 - 0.293948
206, 410, 411, -1 - -5, 58, -2, 18, 5.673391 - 0.549589
207, 412, 413, -1 - 6, -22, 14, -1, 18.808557 - 0.779663
208, 414, 415, -1 - 19, 6, -42, -3, -59.630116 - 0.603536
209, 416, 417, -1 - -54, 23, -3, -11, -57.554857 - 0.437268
210, 418, 419, -1 - 7, 13, -36, 12, -60.313730 - 0.506720
211, 420, 421, -1 - 8, 7, 1, 47, -60.893582 - 0.692895
212, 422, 423, -1 - 0, 1, 38, -26, -97.936949 - 0.628966
213, 424, 425, -1 - 0, 2, 13, -39, -67.766350 - 0.451893
214, 426, 427, -1 - -20, 9, -36, -14, -69.420454 - 0.440652
215, 428, 429, -1 - 0, 0, -31, 37, -79.485458 - 0.280037
216, 430, 431, -1 - 23, -9, -16, 6, 84.081545 - 0.513870
217, 432, 433, -1 - -47, 9, 11, 14, -4.580828 - 0.344969
218, 434, 435, -1 - 23, -5, -53, 20, -86.278878 - 0.621920
219, 436, 437, -1 - 10, 7, 27, 5, -84.032716 - 0.524764
220, 438, 439, -1 - -10, -48, 1, 35, 88.506729 - 0.538489
221, 440, 441, -1 - 0, 1, 12, -20, -37.931455 - 0.326337
222, 442, 443, -1 - 11, 28, 54, -14, 98.040712 - 0.549563
223, 444, 445, -1 - 15, -40, -31, 15, -43.626209 - 0.563666
224, 446, 447, -1 - 8, -42, 38, -44, -29.270302 - 0.490231
225, 448, 449, -1 - -12, -50, -39, 19, -28.373058 - 0.064053
226, 450, 451, -1 - -14, 0, 1, 12, -30.332347 - 0.059377
227, 452, 453, -1 - -19, 50, -18, -42, 14.383374 - 0.391244
228, 454, 455, -1 - 4, 13, -13, -3, 1.058992 - 0.343619
229, 456, 457, -1 - -12, 39, -31, -31, 32.963042 - 0.459931
230, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
231, 458, 459, -1 - 35, -27, -29, 0, -70.488601 - 0.359022
232, 460, 461, -1 - 14, -18, -22, 1, -84.002197 - 0.219876
233, 462, 463, -1 - -8, 54, -15, -12, 30.716880 - 0.689202
234, 464, 465, -1 - -11, 16, 5, -10, 10.196234 - 0.530396
235, 466, 467, -1 - -4, -15, 28, 39, 31.369976 - 0.821375
236, 468, 469, -1 - 16, -13, -1, 38, -89.794610 - 0.377646
237, 470, 471, -1 - -17, 0, -7, 22, 64.934233 - 0.156276
238, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
239, 472, 473, -1 - -9, 23, -54, 3, -93.224891 - 0.036858
240, 474, 475, -1 - 7, 6, 19, -12, -40.311899 - 0.901041
241, 476, 477, -1 - 0, -6, 19, 52, -98.541215 - 0.608748
242, 478, 479, -1 - -9, 6, 36, 0, 45.097201 - 0.398131
243, 480, 481, -1 - -16, 51, -3, 39, 49.198889 - 0.446853
244, 482, 483, -1 - -34, -19, 47, 6, 45.280313 - 0.590843
245, 484, 485, -1 - -16, -4, 49, -2, 73.577074 - 0.423803
246, 486, 487, -1 - -23, 35, -2, -7, -11.209449 - 0.783233
247, 488, 489, -1 - -5, 5, 14, -31, -22.544023 - 0.052622
248, 490, 491, -1 - -10, 18, 1, 32, -85.491501 - 0.881837
249, 492, 493, -1 - 0, -12, 11, 26, 86.266671 - 0.819041
250, 494, 495, -1 - 49, -18, -22, 1, -6.942961 - 0.294694
251, 496, 497, -1 - -47, 11, -19, 11, 33.524583 - 0.151937
252, 498, 499, -1 - -10, -6, 8, 3, -0.888089 - 0.394410
253, 500, 501, -1 - -45, -3, 58, 5, 5.166784 - 0.192930
254, 502, 503, -1 - -27, 0, 24, 52, -66.350291 - 0.904987
255, 504, 505, -1 - -23, 9, 21, -38, 40.220344 - 0.838573
256, 506, 507, -1 - -49, 4, 7, 39, -5.710013 - 0.659443
257, 508, 509, -1 - 50, -30, 12, -58, -25.333415 - 0.440938
258, 510, 511, -1 - 0, -8, -39, -36, -24.051637 - 0.333981
259, 512, 513, -1 - -1, 0, -36, -4, -13.089389 - 0.217572
260, 514, 515, -1 - 11, 28, 54, -14, 98.040712 - 0.570066
261, 516, 517, -1 - 1, 14, -1, 0, 51.658681 - 0.781950
262, 518, 519, -1 - -57, -3, 4, -20, 23.673208 - 0.837679
263, 520, 521, -1 - 0, 1, 33, 8, -6.338694 - 0.510638
264, 522, 523, -1 - -41, -36, 14, 55, 78.545488 - 0.364100
265, 524, 525, -1 - -24, 34, -7, -8, -64.299448 - 0.446607
266, 526, 527, -1 - 30, 17, -6, -43, -99.566637 - 0.342481
267, 528, 529, -1 - -24, -12, -17, 53, -33.634449 - 0.955616
268, 530, 531, -1 - -41, -10, 0, 0, -0.833155 - 0.562908
269, 532, 533, -1 - -45, -13, -22, 51, -28.250984 - 0.581266
270, 534, 535, -1 - -48, 12, -2, 1, -2.273629 - 0.591619
271, 536, 537, -1 - 15, 0, -14, -56, -62.303537 - 0.550036
272, 538, 539, -1 - 10, 51, 41, 19, -63.524277 - 0.129530
273, 540, 541, -1 - 25, -44, 30, 42, 27.329325 - 0.157307
274, 542, 543, -1 - -41, 9, -32, 30, -5.233924 - 0.447627
275, 544, 545, -1 - 20, 20, -10, -8, -15.536973 - 0.430039
276, 546, 547, -1 - -44, -29, -4, -12, 3.799554 - 0.246674
277, 548, 549, -1 - 28, -29, -49, -11, 70.903653 - 0.041633
278, 550, 551, -1 - -32, 22, -1, 23, 69.286172 - 0.918296
279, 552, 553, -1 - -32, 22, -1, 23, 69.286172 - 0.175565
280, 554, 555, -1 - -32, 22, -1, 23, 69.286172 - 0.208707
281, 556, 557, -1 - 4, 39, -2, 0, 29.209265 - 0.473270
282, 558, 559, -1 - -37, 25, 34, 31, -18.472854 - 0.040018
283, 560, 561, -1 - 30, 49, -50, 27, 85.509812 - 0.413863
284, 562, 563, -1 - -23, -5, 7, 4, -0.338755 - 0.402117
285, 564, 565, -1 - -6, -55, 33, 43, 5.392621 - 0.294364
286, 566, 567, -1 - 35, -30, 13, 20, 32.291635 - 0.404017
287, 568, 569, -1 - 29, 42, -49, 17, 79.271828 - 0.268994
288, 570, 571, -1 - 26, -32, 33, 45, 48.472549 - 0.203507
289, 572, 573, -1 - 18, 39, -1, 8, -37.595752 - 0.174786
290, 574, 575, -1 - 39, -27, 41, 25, -66.887417 - 0.307336
291, 576, 577, -1 - -5, -42, -51, 21, -91.228980 - 0.324785
292, 578, 579, -1 - -35, -21, -20, 41, 22.086245 - 0.742073
293, 580, 581, -1 - 23, -44, -31, -43, -42.454299 - 0.091825
294, 582, 583, -1 - -1, -54, 22, -10, 69.042024 - 0.694348
295, 584, 585, -1 - 4, -13, -49, 31, -35.172582 - 0.198182
296, 586, 587, -1 - -2, -1, -46, -24, -51.908933 - 0.750913
297, 588, 589, -1 - -25, 43, 24, -4, -96.917631 - 0.512146
298, 590, 591, -1 - -44, -6, -24, 0, 33.817560 - 0.157906
299, 592, 593, -1 - -56, -9, -19, 2, 50.096133 - 0.182936
300, 594, 595, -1 - 17, -19, -11, 0, 58.580279 - 0.323442
301, 596, 597, -1 - -1, -26, 5, 42, 87.108982 - 0.984746
302, 598, 599, -1 - -20, -35, -42, 34, -20.163579 - 0.696751
303, 600, 601, -1 - -19, 6, 54, -20, -67.210913 - 0.420404
304, 602, 603, -1 - -4, -23, -3, -1, 41.782891 - 0.793591
305, 604, 605, -1 - -30, -21, 13, -3, 47.544786 - 0.455854
306, 606, 607, -1 - -16, -7, 8, -8, 17.532884 - 0.730591
307, 608, 609, -1 - 27, -15, 3, 33, 68.797876 - 0.247884
308, 610, 611, -1 - -39, -37, 25, -14, -75.780511 - 0.980159
309, 612, 613, -1 - -8, 0, 7, -14, -53.263955 - 0.141215
310, 614, 615, -1 - 12, 21, 28, -26, -59.727775 - 0.293534
311, 616, 617, -1 - -45, -6, -44, 6, -62.126530 - 0.908145
312, 618, 619, -1 - 5, -8, 9, -41, 77.019562 - 0.284332
313, 620, 621, -1 - 43, 20, -13, -4, 51.542711 - 0.999839
314, 622, 623, -1 - -25, -39, 14, 1, -63.927122 - 0.325739
315, 624, 625, -1 - 0, 19, 28, -6, -79.711295 - 0.994030
316, 626, 627, -1 - 22, -42, 12, -21, 31.858272 - 0.200968
317, 628, 629, -1 - 58, 11, 29, -41, 13.150426 - 0.858796
318, 630, 631, -1 - 12, 15, 56, -10, -18.521683 - 0.769193
319, 632, 633, -1 - -38, 45, -35, -41, 54.045228 - 0.770005
320, 634, 635, -1 - -49, -13, -45, 8, 66.234321 - 0.932219
321, 636, 637, -1 - -48, -25, -28, 5, 84.203619 - 0.682908
322, 638, 639, -1 - -28, 5, 58, 5, -35.947752 - 0.182523
323, 640, 641, -1 - -33, -9, 22, 25, -15.707877 - 0.315997
324, 642, 643, -1 - -40, 26, -2, 0, 16.055788 - 0.081431
325, 644, 645, -1 - -17, -38, 14, 18, 14.291818 - 0.774241
326, 646, 647, -1 - 12, 0, 1, -16, 20.120853 - 0.543565
327, 648, 649, -1 - 38, -38, -4, -39, 65.819269 - 0.212383
328, 650, 651, -1 - -16, 13, -58, -6, -48.649556 - 0.927789
329, 652, 653, -1 - -48, -24, -40, 41, 77.355266 - 0.287731
330, 654, 655, -1 - -1, 0, -31, 13, -21.018097 - 0.478538
331, 656, 657, -1 - 22, 18, -49, 9, 18.057802 - 0.346874
332, 658, 659, -1 - 53, 23, 33, 2, 89.422285 - 0.350413
333, 660, 661, -1 - -52, 21, 19, -18, -65.037996 - 0.182854
334, 662, 663, -1 - -13, 2, -45, -21, -20.981475 - 0.191625
335, 664, 665, -1 - -48, -24, -40, 41, 77.355266 - 0.627352
336, 666, 667, -1 - 34, -3, 31, -39, -69.200720 - 0.519343
337, 668, 669, -1 - 14, -16, -4, 46, -96.826075 - 0.888183
338, 670, 671, -1 - 9, 1, -16, 0, 12.302011 - 0.174479
339, 672, 673, -1 - 38, -15, 25, 36, -31.907102 - 0.620940
