Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
347, 494, 495, -1 - 2, 1, -34, 19, 45.353557 - 0.543564
348, 496, 497, -1 - -24, 14, 25, 10, -71.044038 - 0.016761
349, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
350, 498, 499, -1 - 46, -6, 25, -31, -34.916227 - 0.791858
351, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
352, 500, 501, -1 - -41, 9, -32, 30, -5.233924 - 0.006459
353, 502, 503, -1 - 17, -1, 1, -10, -73.668630 - 0.543564
354, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
355, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
356, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
357, 504, 505, -1 - -29, -10, -13, -33, -17.813654 - 0.918296
358, 506, 507, -1 - -11, -31, -27, 10, 22.714927 - 0.011642
359, 508, 509, -1 - -44, -6, -24, 0, 33.817560 - 0.970951
360, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
361, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
362, 510, 511, -1 - 0, -55, 46, -35, -85.839412 - 0.019990
363, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
364, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
365, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
366, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
367, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
368, 512, 513, -1 - 54, 18, 45, 4, 50.401318 - 0.836641
369, 514, 515, -1 - 45, 17, -2, -7, 50.547807 - 0.249882
370, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
371, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
372, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
373, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
374, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
375, 516, 517, -1 - 42, -8, -45, -17, -41.184729 - 0.676942
376, 518, 519, -1 - 31, -41, 12, -5, -88.641011 - 0.353359
377, 520, 521, -1 - 0, 0, 49, -24, -40.684225 - 0.353359
378, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
379, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
380, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
381, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
