Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
583, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
584, 666, 667, -1 - -29, -10, -13, -33, -17.813654 - 0.991076
585, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
586, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
587, 668, 669, -1 - -8, -46, -36, 5, 31.919309 - 0.012410
588, 0, 0, 20 - 0, 0, 0, 0, 0.000000 - 0.000000
589, 670, 671, -1 - 17, -1, 1, 1, 48.844874 - 0.123950
590, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
591, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
592, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
593, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
594, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
595, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
596, 672, 673, -1 - -25, 23, -9, 21, -51.860103 - 0.178366
597, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
598, 674, 675, -1 - -28, 25, 34, -11, -44.877468 - 1.000000
599, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
600, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
601, 676, 677, -1 - -6, 51, 20, 30, -29.831843 - 0.413817
602, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
603, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
604, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
605, 678, 679, -1 - -30, 10, 3, 18, -28.531755 - 0.721928
606, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
607, 680, 681, -1 - 17, -1, 1, 1, 48.844874 - 0.811278
608, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
609, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
610, 682, 683, -1 - -27, -15, 12, -43, -90.673544 - 0.954434
611, 684, 685, -1 - -22, -42, -39, 7, -70.482498 - 0.063068
612, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
613, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
614, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
615, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
616, 686, 687, -1 - 21, -23, 33, -34, -93.438520 - 0.213132
617, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
618, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
619, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
620, 688, 689, -1 - -28, 1, 50, 11, -4.000977 - 0.049103
621, 690, 691, -1 - -7, 1, 50, -16, -79.155858 - 0.954434
622, 692, 693, -1 - 4, 18, -37, -13, -87.401959 - 0.024568
623, 694, 695, -1 - -20, -16, 6, 17, -82.097842 - 0.203503
624, 696, 697, -1 - 10, -21, -25, 2, 44.926298 - 0.120589
625, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
626, 698, 699, -1 - 0, 5, 6, 17, -81.499680 - 0.240876
627, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
628, 700, 701, -1 - 0, 0, 49, -24, -40.684225 - 0.285286
629, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
630, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
631, 702, 703, -1 - 31, 30, -2, 27, 33.530686 - 0.556780
632, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
633, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
634, 704, 705, -1 - 1, -8, 0, 12, 6.967376 - 0.650022
635, 706, 707, -1 - 24, 9, -51, 19, -73.772393 - 0.235193
636, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
637, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
638, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
639, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
640, 708, 709, -1 - -39, 26, -15, 50, -41.196936 - 0.918296
641, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
642, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
